plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,violation_status,summons_image
E84PNS,NJ,PAS,2011024614,3/21/2023,12:24P,NO PARKING-STREET CLEANING,,65,0,0,0,65,0,114,Qns,DEPARTMENT OF SANITATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmVFMVVRWGxPUkZsNFRrRTlQUT09&locationName=_____________________)
T736252C,NY,OMT,2011024602,3/21/2023,12:19P,NO PARKING-STREET CLEANING,,65,0,0,0,65,0,114,Qns,DEPARTMENT OF SANITATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmVFMVVRWGxPUkZsM1RXYzlQUT09&locationName=_____________________)
JHG1543,NY,PAS,4857169290,8/13/2023,07:44A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNTZSVEpQVkVrMVRVRTlQUT09&locationName=_____________________)
JMS7055,NY,PAS,9001636640,7/19/2022,11:13A,NO PARKING-STREET CLEANING,,65,10,0,0,75,0,13,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXWHBPYWxrd1RVRTlQUT09&locationName=_____________________)
T41RBW,NJ,PAS,9001651136,8/10/2022,07:40A,NO STANDING-COMM METER ZONE,,115,0,0,0,115,0,14,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVEZOVkVWNlRtYzlQUT09&locationName=_____________________)
CER8834,NY,PAS,4788464822,7/25/2022,01:08P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPUkdkNVRXYzlQUT09&locationName=_____________________)
KDE8491,NY,PAS,4788464834,7/25/2022,01:08P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPUkdkNlRrRTlQUT09&locationName=_____________________)
HLB1713,NY,PAS,4788464858,7/25/2022,01:09P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPUkdjeFQwRTlQUT09&locationName=_____________________)
JDZ2618,NY,PAS,8919082765,10/6/2021,08:42A,REG. STICKER-EXPIRED/MISSING,,65,60,0,30,95,0,9,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVRVFJOYW1NeVRsRTlQUT09&locationName=_____________________)
JDZ2618,NY,PAS,8919082777,10/6/2021,08:43A,INSP. STICKER-EXPIRED/MISSING,,65,60,0,30,95,0,9,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVRVFJOYW1NelRuYzlQUT09&locationName=_____________________)
JLM6400,NY,PAS,8969355856,3/19/2021,08:17A,REG. STICKER-EXPIRED/MISSING,,65,0,0,0,65,0,41,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rOVVUVEZPVkdjeFRtYzlQUT09&locationName=_____________________)
MCF5633,PA,PAS,1493093540,8/6/2023,12:43A,FIRE HYDRANT,,115,10,0,0,0,125,52,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZOZWxVd1RVRTlQUT09&locationName=_____________________)
XKKH56,NJ,PAS,2011024626,3/22/2023,07:36A,NO PARKING-STREET CLEANING,,65,0,0,65,0,0,114,Qns,DEPARTMENT OF SANITATION,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmVFMVVRWGxPUkZsNVRtYzlQUT09&locationName=_____________________)
W60MHA,NJ,PAS,4864297265,9/21/2023,06:06P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,MN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNUVTVFZPZWtreVRsRTlQUT09&locationName=_____________________)
LAE2649,NY,PAS,1493093587,7/31/2023,09:16P,NO STANDING-DAY/TIME LIMITS,,115,30,0,0,0,145,52,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZOZWxVMFRuYzlQUT09&locationName=_____________________)
U41LDV,NJ,PAS,1493093605,8/4/2023,09:37P,NO STANDING-DAY/TIME LIMITS,,115,30,0,0,0,145,52,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZOZWxsM1RsRTlQUT09&locationName=_____________________)
KPK6205,NY,PAS,1493093617,9/5/2023,11:50A,OBSTRUCTING DRIVEWAY,,95,10,0,0,0,105,52,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZOZWxsNFRuYzlQUT09&locationName=_____________________)
EMC4801,MI,PAS,9001651148,8/10/2022,07:51A,NO STANDING-COMM METER ZONE,,115,0,0,0,115,0,10,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVEZOVkVVd1QwRTlQUT09&locationName=_____________________)
KHE7284,NY,PAS,4788465279,7/25/2022,01:13P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPVkVrelQxRTlQUT09&locationName=_____________________)
KXS8341,NY,PAS,9001651550,8/16/2022,07:12A,NO STANDING-DAY/TIME LIMITS,,115,0,0,0,115,0,14,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVEZOVkZVeFRVRTlQUT09&locationName=_____________________)
JAU4103,NY,PAS,4788465206,7/25/2022,01:12P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPVkVsM1RtYzlQUT09&locationName=_____________________)
DYY2085,NY,PAS,4788465218,7/25/2022,01:12P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPVkVsNFQwRTlQUT09&locationName=_____________________)
GNS8315,NY,PAS,4788465220,7/25/2022,01:12P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPVkVsNVRVRTlQUT09&locationName=_____________________)
DA22427,VA,PAS,9001651483,8/15/2022,10:15A,NO STANDING-COMM METER ZONE,,115,0,0,0,115,0,17,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVEZOVkZFMFRYYzlQUT09&locationName=_____________________)
JBB1248,NY,PAS,8919090166,11/19/2021,09:19A,NO PARKING-STREET CLEANING,,65,30,0,0,95,0,6,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVRVFZOUkVVeVRtYzlQUT09&locationName=_____________________)
KPK6205,NY,PAS,1493093629,9/5/2023,11:50P,FIRE HYDRANT,,115,10,0,0,0,125,52,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZOZWxsNVQxRTlQUT09&locationName=_____________________)
KYF1096,NY,PAS,1493093630,9/2/2023,09:15P,DOUBLE PARKING,,115,10,0,0,0,125,52,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZOZWxsNlRVRTlQUT09&locationName=_____________________)
N86LYX,NJ,PAS,9001651707,8/16/2022,10:14A,NO STANDING-COMM METER ZONE,,115,0,0,0,115,0,18,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVEZOVkdOM1RuYzlQUT09&locationName=_____________________)
KXS8341,NY,PAS,9001651562,8/16/2022,07:15A,REG. STICKER-EXPIRED/MISSING,,65,0,0,0,65,0,14,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVEZOVkZVeVRXYzlQUT09&locationName=_____________________)
57766MJ,NY,COM,8919091511,2/22/2022,12:51P,DOUBLE PARKING,,115,0,0,0,115,0,1,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVRVFZOVkZWNFRWRTlQUT09&locationName=_____________________)
