,plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,violation_status,summons_image
0,E84PNS,NJ,PAS,2011024614,03/21/2023,12:24P,NO PARKING-STREET CLEANING,,65.0,0.0,0.0,0.0,65.0,0.0,114.0,Qns,DEPARTMENT OF SANITATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmVFMVVRWGxPUkZsNFRrRTlQUT09&locationName=_____________________)
1,T736252C,NY,OMT,2011024602,03/21/2023,12:19P,NO PARKING-STREET CLEANING,,65.0,0.0,0.0,0.0,65.0,0.0,114.0,Qns,DEPARTMENT OF SANITATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmVFMVVRWGxPUkZsM1RXYzlQUT09&locationName=_____________________)
2,JHG1543,NY,PAS,4857169290,08/13/2023,07:44A,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNTZSVEpQVkVrMVRVRTlQUT09&locationName=_____________________)
3,JMS7055,NY,PAS,9001636640,07/19/2022,11:13A,NO PARKING-STREET CLEANING,,65.0,10.0,0.0,0.0,75.0,0.0,13.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXWHBPYWxrd1RVRTlQUT09&locationName=_____________________)
4,T41RBW,NJ,PAS,9001651136,08/10/2022,07:40A,NO STANDING-COMM METER ZONE,,115.0,0.0,0.0,0.0,115.0,0.0,14.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVEZOVkVWNlRtYzlQUT09&locationName=_____________________)
5,CER8834,NY,PAS,4788464822,07/25/2022,01:08P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPUkdkNVRXYzlQUT09&locationName=_____________________)
6,KDE8491,NY,PAS,4788464834,07/25/2022,01:08P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPUkdkNlRrRTlQUT09&locationName=_____________________)
7,HLB1713,NY,PAS,4788464858,07/25/2022,01:09P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPUkdjeFQwRTlQUT09&locationName=_____________________)
8,JDZ2618,NY,PAS,8919082765,10/06/2021,08:42A,REG. STICKER-EXPIRED/MISSING,,65.0,60.0,0.0,30.0,95.0,0.0,9.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVRVFJOYW1NeVRsRTlQUT09&locationName=_____________________)
9,JDZ2618,NY,PAS,8919082777,10/06/2021,08:43A,INSP. STICKER-EXPIRED/MISSING,,65.0,60.0,0.0,30.0,95.0,0.0,9.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVRVFJOYW1NelRuYzlQUT09&locationName=_____________________)
10,JLM6400,NY,PAS,8969355856,03/19/2021,08:17A,REG. STICKER-EXPIRED/MISSING,,65.0,0.0,0.0,0.0,65.0,0.0,41.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rOVVUVEZPVkdjeFRtYzlQUT09&locationName=_____________________)
11,MCF5633,PA,PAS,1493093540,08/06/2023,12:43A,FIRE HYDRANT,,115.0,10.0,0.0,0.0,0.0,125.0,52.0,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZOZWxVd1RVRTlQUT09&locationName=_____________________)
12,XKKH56,NJ,PAS,2011024626,03/22/2023,07:36A,NO PARKING-STREET CLEANING,,65.0,0.0,0.0,65.0,0.0,0.0,114.0,Qns,DEPARTMENT OF SANITATION,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmVFMVVRWGxPUkZsNVRtYzlQUT09&locationName=_____________________)
13,W60MHA,NJ,PAS,4864297265,09/21/2023,06:06P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,MN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNUVTVFZPZWtreVRsRTlQUT09&locationName=_____________________)
